                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.085672,               0.048514,               0.021169,                      0,                0.75116,                0.47783,                0.47953,                0.23356,                0.56699,                0.39196,                0.31353,               0.085408,               0.058094,               0.019992,               0.013608,                      0,               0.070097,              0.0033226,              0.0033226
                      1,                0.06205,               0.025168,               0.017896,                      0,                0.64587,                0.53266,                0.47069,                0.23515,                0.56291,                0.42211,                0.33666,               0.080578,               0.054709,               0.019254,               0.010696,                      0,               0.039897,              0.0064562,              0.0064562
                      2,                0.06014,               0.024021,               0.015297,                      0,                0.67683,                0.42623,                0.48198,                0.27076,                  0.622,                0.38037,                 0.3942,                0.11194,               0.056802,               0.019155,              0.0093935,                      0,              0.0094974,              0.0093899,              0.0093899
                      3,               0.056551,               0.023893,               0.014017,                      0,                 0.6431,                0.52261,                0.50717,                0.16744,                0.50653,                0.42462,                0.33471,               0.070897,               0.052993,               0.018302,              0.0088333,                      0,                 0.0091,                 0.0091,                 0.0091
                      4,               0.051654,               0.024053,               0.012817,                      0,                0.68076,                 0.6005,                0.57439,                0.29238,                0.61003,                0.56599,                0.45104,                0.13496,               0.046158,               0.018713,               0.009249,                      0,                 0.0091,                 0.0091,                 0.0091
                      5,                0.04995,               0.023009,               0.012438,                      0,                0.68634,                0.60804,                0.60251,                 0.3694,                0.61704,                0.51759,                0.45617,                0.13831,               0.041481,               0.018614,              0.0088418,                      0,                 0.0088,                 0.0088,                 0.0088
                      6,               0.046242,               0.023953,               0.012521,                      0,                0.73197,                0.64498,                0.63974,                0.37782,                0.64795,                0.57342,                0.50028,                0.15687,               0.039815,               0.018337,               0.008738,                      0,                 0.0085,                 0.0085,                 0.0085
                      7,               0.044403,               0.023468,               0.012466,                      0,                0.69027,                0.61036,                0.61801,                0.28214,                0.45485,                0.47487,                0.35727,               0.098758,               0.041042,               0.018352,              0.0086986,                      0,                 0.0082,                 0.0082,                 0.0082
                      8,                0.04253,               0.022712,               0.011703,                      0,                 0.7863,                0.67488,                0.67562,                0.41118,                 0.7096,                0.60804,                0.54204,                0.17015,               0.037947,               0.017563,              0.0085305,                      0,                 0.0079,                 0.0079,                 0.0079
                      9,               0.041239,               0.022583,               0.011503,                      0,                 0.7012,                0.69347,                0.65547,                0.41389,                0.60522,                0.60804,                0.48748,                0.15319,               0.033838,               0.017797,              0.0085992,                      0,                 0.0076,                 0.0076,                 0.0076
                     10,               0.040563,               0.021742,               0.011564,                      0,                0.66371,                0.64824,                0.59921,                0.34457,                 0.5792,                0.55779,                0.43979,                0.12983,               0.038085,               0.018196,              0.0085854,                      0,                 0.0073,                 0.0073,                 0.0073
                     11,               0.038388,               0.021776,                0.01092,                      0,                0.73678,                 0.7033,                0.68067,                0.43879,                0.68015,                 0.6358,                 0.5415,                0.17862,               0.032026,               0.018169,              0.0082319,                      0,                  0.007,                  0.007,                  0.007
                     12,               0.037304,               0.022162,                0.01118,                      0,                0.77157,                0.69598,                0.70912,                0.42863,                0.67687,                0.61055,                0.55349,                0.17048,               0.034139,                0.01732,               0.008076,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,               0.035595,               0.021606,               0.011037,                      0,                0.79605,                0.66583,                0.73344,                 0.4586,                0.67608,                 0.6206,                0.59045,                 0.2046,               0.031827,                0.01721,              0.0077346,                      0,                 0.0064,                 0.0064,                 0.0064
                     14,               0.034773,               0.021317,               0.010988,                      0,                0.81838,                0.66797,                0.72544,                0.48546,                0.74142,                0.60516,                0.60714,                0.21325,               0.029294,               0.016985,               0.007705,                      0,                 0.0061,                 0.0061,                 0.0061
